row ID,row m/z,row retention time,L9.mzML Peak area,CE.mzML Peak area,L5.mzML Peak area,L10.mzML Peak area,L8.mzML Peak area,L4.mzML Peak area,L2.mzML Peak area,L3.mzML Peak area,L11.mzML Peak area,L7.mzML Peak area,L6.mzML Peak area,L17.mzML Peak area,L18.mzML Peak area,L15.mzML Peak area,L13.mzML Peak area,L14.mzML Peak area,L16.mzML Peak area,L12.mzML Peak area,L1.mzML Peak area
2553,521.3275857,24.752932,0.00,0.00,0.00,0.00,0.00,0.00,350487.66,47770.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,875285.00
3234,381.335851,30.706987,0.00,757228.94,108647.52,0.00,0.00,421079.94,886768.40,741972.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,591560.90
432,288.1437971,7.601389,0.00,27000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2057,458.2900671,20.44081,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1320672.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2468,334.2141951,24.075287,0.00,0.00,0.00,0.00,0.00,0.00,355668.72,0.00,630582.90,0.00,0.00,0.00,0.00,1294952.10,901357.94,1247385.90,0.00,966677.70,3901758.80
1552,301.1758919,16.074902,491977.28,648737.94,663430.80,583496.44,577923.56,772574.50,950818.20,951604.30,331864.34,646957.90,653727.20,0.00,0.00,0.00,0.00,0.00,0.00,338751.60,565562.75
2750,443.2425617,26.365023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3095559.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
768,166.0862844,9.5569515,0.00,890461.25,575196.50,0.00,0.00,962555.30,1117096.00,1181924.90,0.00,206009.08,177940.90,0.00,0.00,0.00,0.00,0.00,0.00,53618.48,263891.75
1330,321.1698822,13.893283,0.00,0.00,841443.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,815673.75,0.00,0.00,162826.88,0.00,0.00,0.00,0.00,0.00
2334,525.2022114,23.189531,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,938251.75,0.00
3051,439.3318779,28.72823,0.00,268951.97,0.00,0.00,0.00,0.00,1389202.60,438723.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2715885.20
1956,318.2065867,19.530994,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,318986.28,710744.30,0.00,0.00,0.00,584997.00,105373.67,0.00
2376,320.2560183,23.5095,50306.41,0.00,0.00,159917.06,107017.52,277739.12,2044671.10,410964.84,4639337.50,0.00,165178.10,0.00,52651.69,8032911.00,6286945.50,7693701.00,393675.34,4195339.00,10600000.00
655,135.0806215,8.763688,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,172059.28,510337.12,344771.10,51889.13,295469.22,419089.06,161823.92,572981.10
2481,397.2372044,24.2329,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2543348.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
