row ID,MZ_RT,cor, p_value,p_value_corrected,L9,CE,L5,L10,L8,L4,L2,L3,L11,L7,L6,L17,L18,L15,L13,L14,L16,L12,L1
1108,314.1136613_11.792081,0.837244678,7.79E-06,0.018116203,7.25E-04,1.48E-04,6.27E-05,9.24E-04,4.39E-04,3.01E-05,1.39E-05,3.20E-05,1.00E-03,2.00E-04,1.28E-04,2.06E-03,2.99E-03,1.75E-03,1.58E-03,1.83E-03,2.52E-03,1.10E-03,1.72E-10
20,313.1142491_4.5672703,0.8371053,7.84E-06,0.018239354,7.36E-04,2.05E-04,7.83E-05,9.60E-04,5.20E-04,8.91E-05,1.31E-04,1.29E-04,1.15E-03,2.35E-04,1.48E-04,1.86E-03,2.71E-03,1.61E-03,1.59E-03,1.78E-03,2.48E-03,1.10E-03,3.63E-05
1390,490.1612618_14.700208,0.836223269,8.19E-06,0.019035589,7.51E-05,2.22E-10,2.58E-10,1.35E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.30E-04,2.66E-10,2.74E-10,2.95E-04,4.50E-04,2.67E-04,2.46E-04,2.46E-04,3.95E-04,1.68E-04,1.72E-10
1028,328.129285_11.076705,0.835830394,8.34E-06,0.019399799,4.95E-04,9.13E-05,4.09E-05,6.28E-04,3.26E-04,3.06E-10,2.66E-10,2.94E-10,6.65E-04,1.40E-04,9.51E-05,1.15E-03,1.60E-03,9.70E-04,9.92E-04,1.10E-03,1.44E-03,6.74E-04,1.72E-10
687,229.1185273_9.032905,0.835699909,8.40E-06,0.019522087,3.04E-04,3.89E-05,2.58E-10,3.74E-04,2.02E-04,3.06E-10,2.66E-10,2.94E-10,4.39E-04,9.73E-05,4.16E-05,7.21E-04,1.00E-03,6.16E-04,6.47E-04,6.83E-04,9.06E-04,4.31E-04,1.72E-10
1146,415.1977276_12.121241,0.835619001,8.43E-06,0.019598245,6.60E-04,1.78E-04,2.66E-05,8.29E-04,4.14E-04,3.06E-10,1.17E-04,1.15E-04,9.02E-04,2.14E-04,1.08E-04,1.46E-03,1.98E-03,1.24E-03,1.27E-03,1.39E-03,1.82E-03,8.89E-04,1.72E-10
1118,333.1082982_11.870296,0.83524439,8.58E-06,0.019954223,1.06E-03,2.55E-04,1.08E-04,1.31E-03,6.96E-04,1.23E-04,1.51E-04,1.78E-04,1.48E-03,3.05E-04,1.88E-04,2.56E-03,3.51E-03,2.21E-03,2.13E-03,2.42E-03,3.08E-03,1.50E-03,1.72E-10
177,236.0918456_5.8273764,0.835023123,8.67E-06,0.020167094,7.62E-05,2.22E-10,2.58E-10,1.56E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.47E-04,2.66E-10,2.74E-10,2.38E-04,3.61E-04,2.55E-04,2.38E-04,2.77E-04,3.52E-04,1.80E-04,1.72E-10
41,140.0343019_4.5759063,0.834969052,8.70E-06,0.02021941,2.50E-04,3.98E-05,2.58E-10,3.49E-04,2.14E-04,3.06E-10,2.66E-10,2.94E-10,3.53E-04,1.03E-04,4.62E-05,6.54E-04,9.13E-04,5.46E-04,5.53E-04,5.97E-04,8.24E-04,3.91E-04,1.72E-10
1403,271.060215_14.881033,0.834968986,8.70E-06,0.020219475,3.33E-04,2.22E-10,2.58E-10,4.12E-04,2.17E-04,3.06E-10,2.66E-10,2.94E-10,4.62E-04,9.95E-05,3.03E-05,6.76E-04,8.11E-04,5.88E-04,8.83E-04,9.82E-04,8.05E-04,6.27E-04,1.72E-10
911,305.1134531_10.363963,0.834964774,8.70E-06,0.020223555,8.19E-05,2.22E-10,2.58E-10,2.03E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,2.02E-04,2.66E-10,2.74E-10,4.08E-04,6.66E-04,3.56E-04,3.24E-04,4.04E-04,6.02E-04,2.30E-04,1.72E-10
9,252.1091347_4.485194,0.834842633,8.75E-06,0.020342185,8.32E-04,1.45E-04,3.91E-05,1.04E-03,5.18E-04,3.06E-10,2.66E-10,2.94E-10,1.20E-03,2.22E-04,9.55E-05,2.06E-03,2.82E-03,1.66E-03,1.65E-03,1.83E-03,2.54E-03,1.24E-03,1.72E-10
1202,312.1345349_12.610671,0.834727593,8.80E-06,0.020454467,7.78E-05,7.92E-05,2.58E-10,1.45E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.59E-04,2.66E-10,2.74E-10,4.98E-04,8.10E-04,3.74E-04,2.80E-04,3.78E-04,6.64E-04,2.14E-04,1.72E-10
1368,300.0980701_14.469207,0.834339756,8.96E-06,0.02083696,1.12E-04,2.22E-10,2.58E-10,1.78E-04,6.83E-05,3.06E-10,2.66E-10,2.94E-10,1.80E-04,2.66E-10,2.74E-10,2.60E-04,3.79E-04,2.40E-04,2.86E-04,2.78E-04,3.67E-04,2.07E-04,1.72E-10
6,137.0458544_4.4128942,0.834230217,9.01E-06,0.020946101,0.003408825,0.001106038,0.000315926,0.004326561,0.002040527,0.00026515,0.00027265,0.000330697,0.005377972,0.00085826,0.000479701,0.011880375,0.017108478,0.008780654,0.007820896,0.009377283,0.013981248,0.005498137,0.000137278
85,278.1137149_4.589869,0.834067539,9.08E-06,0.021109099,2.51E-04,5.28E-05,2.58E-10,3.65E-04,1.76E-04,3.06E-10,2.66E-10,2.94E-10,4.13E-04,8.19E-05,3.20E-05,7.44E-04,9.93E-04,6.62E-04,6.01E-04,6.99E-04,9.35E-04,4.24E-04,1.72E-10
1356,384.119203_14.20158,0.833870851,9.16E-06,0.021307635,6.78E-04,1.87E-04,9.72E-05,8.68E-04,4.78E-04,1.11E-04,9.32E-05,1.32E-04,9.29E-04,2.15E-04,1.46E-04,1.85E-03,2.61E-03,1.54E-03,1.43E-03,1.66E-03,2.27E-03,9.88E-04,1.72E-10
268,379.1978487_6.763544,0.833841787,9.18E-06,0.021337108,4.84E-10,2.22E-10,2.58E-10,7.37E-05,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-05,2.66E-10,2.74E-10,2.03E-04,3.09E-04,1.70E-04,1.36E-04,1.58E-04,2.59E-04,9.94E-05,1.72E-10
1366,406.139903_14.399902,0.833728922,9.23E-06,0.021451896,9.48E-04,1.57E-04,1.17E-04,1.17E-03,6.32E-04,9.54E-05,7.49E-05,1.02E-04,1.35E-03,2.97E-04,1.97E-04,2.10E-03,3.08E-03,1.70E-03,1.82E-03,2.01E-03,2.74E-03,1.33E-03,1.72E-10
328,379.1976763_7.0682206,0.832811032,9.64E-06,0.022405391,1.28E-04,3.52E-05,2.58E-10,1.78E-04,4.78E-05,3.06E-10,1.29E-05,1.47E-05,1.80E-04,1.28E-05,2.74E-10,3.10E-04,4.88E-04,2.69E-04,2.54E-04,3.19E-04,4.76E-04,2.02E-04,1.72E-10
1045,439.2555262_11.166623,0.832718057,9.68E-06,0.022503981,2.76E-04,7.02E-05,2.58E-10,3.42E-04,1.88E-04,3.06E-10,8.32E-05,4.98E-05,3.65E-04,8.16E-05,4.31E-05,5.50E-04,7.34E-04,4.31E-04,5.03E-04,5.52E-04,7.17E-04,3.99E-04,6.54E-05
1038,359.1351812_11.148507,0.832645966,9.71E-06,0.022580683,4.92E-05,8.25E-05,2.58E-10,1.41E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.31E-04,2.66E-10,2.74E-10,4.83E-04,7.88E-04,3.92E-04,2.69E-04,3.46E-04,6.08E-04,1.90E-04,1.72E-10
3172,637.3047553_29.87841,0.832535154,9.76E-06,0.022699023,2.03E-04,2.22E-10,2.58E-10,2.95E-04,7.32E-05,3.06E-10,2.66E-10,2.94E-10,2.75E-04,4.36E-05,2.74E-10,8.89E-04,8.47E-04,3.03E-04,7.13E-04,8.25E-04,7.77E-04,3.33E-04,5.22E-05
1102,231.076691_11.73665,0.832398044,9.83E-06,0.022846188,3.19E-04,7.07E-05,2.58E-10,4.08E-04,1.99E-04,3.06E-10,2.66E-10,2.94E-10,4.93E-04,8.01E-05,2.74E-10,1.05E-03,1.53E-03,8.73E-04,7.47E-04,8.81E-04,1.28E-03,5.02E-04,1.72E-10
1200,407.1353086_12.539806,0.832282648,9.88E-06,0.022970684,2.62E-05,6.42E-05,2.58E-10,1.57E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.24E-04,2.66E-10,2.74E-10,4.10E-04,7.16E-04,3.51E-04,2.29E-04,3.21E-04,5.34E-04,1.78E-04,1.72E-10
1565,380.124323_16.189314,0.831896098,1.01E-05,0.023391993,4.84E-10,2.22E-10,2.58E-10,9.21E-05,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.42E-05,2.66E-10,2.74E-10,1.29E-04,2.20E-04,8.12E-05,9.47E-05,1.32E-04,2.17E-04,9.73E-05,1.72E-10
1165,415.1976723_12.363914,0.831460339,1.03E-05,0.023874915,1.99E-04,3.59E-05,2.58E-10,2.30E-04,1.23E-04,3.06E-10,2.66E-10,2.94E-10,2.65E-04,2.69E-05,2.74E-10,4.14E-04,6.14E-04,3.66E-04,3.54E-04,4.17E-04,5.57E-04,2.77E-04,1.72E-10
