row ID,MZ_RT,cor, p_value,p_value_corrected,L9,CE,L5,L10,L8,L4,L2,L3,L11,L7,L6,L17,L18,L15,L13,L14,L16,L12,L1
1920,586.4164432_19.203955,-0.240304549,0.321698564,1,4.84E-10,1.00E-04,2.58E-10,3.97E-10,4.22E-10,8.74E-05,2.80E-04,1.93E-04,5.17E-10,2.66E-10,2.74E-10,3.67E-04,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,2.71E-04
1858,282.206501_18.404802,-0.262675883,0.277272003,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.24E-04
880,166.0865223_10.110453,-0.491392378,0.032625231,1,3.78E-04,1.39E-04,2.32E-04,3.04E-04,3.69E-04,2.45E-04,1.60E-04,2.36E-04,3.02E-04,2.42E-04,2.43E-04,5.08E-10,4.96E-10,2.46E-05,1.99E-04,1.40E-04,7.39E-05,2.06E-04,1.72E-10
3061,488.3521079_28.764936,-0.115492903,0.637765005,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,3.42E-04,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.72E-10
1320,221.1901318_13.772287,-0.264322529,0.274160337,1,4.84E-10,2.22E-10,1.77E-04,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,2.66E-10,1.90E-04,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.72E-10
1543,331.0813197_15.987271,-0.237064601,0.32846343,1,4.84E-10,2.22E-10,7.86E-04,8.98E-05,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,1.01E-04,8.34E-04,5.08E-10,4.96E-10,3.79E-04,5.25E-10,5.18E-10,4.52E-10,1.40E-04,1.72E-10
1236,169.0861427_12.842996,-0.385300392,0.103295292,1,4.84E-10,2.37E-04,6.88E-05,3.97E-10,4.22E-10,2.51E-04,2.83E-04,7.29E-04,5.17E-10,2.66E-10,1.33E-05,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,8.95E-06
1331,269.211327_13.892501,0.368456805,0.120606677,1,2.55E-04,2.38E-05,1.32E-05,2.55E-04,1.99E-04,3.06E-10,4.19E-05,2.94E-10,2.56E-04,1.13E-04,8.44E-05,8.50E-05,9.56E-05,1.26E-04,2.51E-04,2.05E-04,2.11E-04,2.06E-04,8.90E-06
1659,178.0864308_16.522457,-0.373721005,0.114989284,1,4.84E-10,1.18E-04,1.51E-04,3.97E-10,4.22E-10,2.23E-04,1.86E-04,2.33E-04,5.17E-10,2.66E-10,7.97E-05,2.06E-04,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.72E-10
3287,658.4730086_31.356777,-0.297749469,0.215690833,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,1.18E-04,2.94E-10,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,6.07E-04
