row ID,MZ_RT,cor, p_value,p_value_corrected,C7,C8,C9,C10,C11,C12,C13,C14,C15
5461,328.263161_31.689598,-0.146697227,0.706458476,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,1.53E-10,5.60E-04,6.46E-04,1.22E-09,1.49E-09
1792,629.3630435_18.700222,-0.146261212,0.707299837,1,2.02E-03,1.45E-03,4.43E-04,1.14E-04,6.68E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2456,674.4685478_21.020227,-0.146120627,0.707571177,1,2.00E-04,2.59E-04,4.41E-06,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
5330,425.2871402_30.968557,-0.145416483,0.708930656,1,1.49E-10,5.61E-06,8.84E-11,9.90E-11,5.25E-05,1.37E-03,4.85E-04,4.03E-04,7.72E-05
2055,311.2218484_19.565428,0.145390221,0.708981373,1,1.50E-04,1.13E-03,7.87E-05,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4603,270.278871_28.152876,0.14505742,0.709624167,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,1.96E-04,5.34E-04,9.78E-10,1.22E-09,1.49E-09
5431,423.3831669_31.511932,-0.14475024,0.710217615,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,1.53E-10,5.69E-04,4.68E-04,6.03E-05,1.49E-09
5229,481.2922127_30.437925,-0.144406455,0.710881941,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,1.51E-05,3.74E-04,4.63E-04,1.22E-09,1.49E-09
1857,335.2793621_18.929354,0.14393403,0.711795126,1,7.36E-05,2.12E-04,4.63E-05,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2333,120.0810496_20.556978,0.1437905,0.712072627,1,5.26E-05,3.01E-04,2.89E-05,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
5457,203.1429198_31.689598,-0.143720226,0.712208507,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,1.53E-10,5.56E-04,6.18E-04,1.22E-09,1.49E-09
2265,132.1020213_20.372004,0.143671316,0.71230308,1,4.83E-05,2.31E-04,2.76E-05,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4075,109.1014827_26.437523,0.142270156,0.715013863,1,1.49E-10,1.08E-10,8.84E-11,8.44E-05,1.13E-04,5.09E-04,9.78E-10,1.22E-09,1.49E-09
4752,334.2738647_28.52894,-0.141843048,0.715840726,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,4.24E-04,3.30E-03,1.98E-03,1.07E-03,1.49E-09
1635,152.1070856_18.156551,-0.140955063,0.717560644,1,9.43E-05,1.30E-04,8.84E-11,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
1706,269.0922046_18.4002,0.14087103,0.717723463,1,4.27E-05,3.14E-04,2.05E-05,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4924,820.4129154_29.152908,0.140449825,0.718539719,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,1.60E-04,4.56E-04,9.78E-10,1.22E-09,1.49E-09
1634,111.0444474_18.15655,-0.139499052,0.720383133,1,1.77E-04,2.45E-04,8.84E-11,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2271,258.2064607_20.371824,0.139192607,0.720977555,1,7.02E-04,3.15E-03,3.85E-04,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
