"row ID","MZ_RT","cor"," p_value","p_value_corrected","C7","C8","C9","C10","C11","C12","C13","C14","C15"
"4448","548.9000181_27.668861","0.743945340144087","0.0215445397260972","1","1.486861e-10","1.079308e-10","5.554125e-04","7.526938e-04","3.977458e-04","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"4536","562.8973146_27.930954","0.739916585152845","0.022656596072554","1","1.486861e-10","1.079308e-10","3.915274e-04","5.475018e-04","2.997287e-04","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"526","134.0965333_13.780812","-0.422548329735234","0.257202686239979","1","5.167307e-04","7.049873e-05","8.835574e-11","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"1366","109.1016141_17.303886","-0.433158802085165","0.244163878020838","1","6.420059e-04","4.120363e-05","8.835574e-11","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"5287","503.6954107_30.78629","0.280023495025577","0.46551412192526","1","1.486861e-10","1.079308e-10","8.835574e-11","1.808782e-04","2.334960e-05","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"485","254.0846619_13.168315","-0.433716959403386","0.243488024249252","1","2.007262e-03","1.201708e-04","8.835574e-11","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"2540","270.1488497_21.326784","0.573578688731201","0.106362711503533","1","1.486861e-10","6.210286e-04","5.271272e-04","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"1591","274.1438686_18.001205","-0.382328952774204","0.30987204187364","1","2.756389e-04","9.287244e-05","8.835574e-11","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"3413","477.3403452_24.637266","0.682746098547928","0.0426909229664288","1","1.486861e-10","3.870307e-04","4.381517e-04","9.939614e-05","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"2834","441.3728761_22.462746","0.279171960779809","0.466929438204613","1","1.486861e-10","1.079308e-10","4.183632e-06","6.520625e-05","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"410","168.1384228_12.064328","-0.0197729538217134","0.95973199085399","1","1.947164e-04","2.249362e-04","6.998182e-05","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"5270","403.3180176_30.702032","-0.0373575173775841","0.923984343027022","1","1.486861e-10","1.079308e-10","8.835574e-11","9.904960e-11","1.370189e-04","3.279939e-03","1.282725e-03","1.223669e-09","1.488487e-09"
"389","342.0739253_11.559019","-0.440617785148313","0.235215345723447","1","1.571115e-04","1.079308e-10","8.835574e-11","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"3244","483.8504657_23.96579","0.527959600719784","0.14401586113239","1","1.486861e-10","5.012442e-04","3.470221e-04","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"2560","335.2203955_21.441994","0.620057059631605","0.0748581914386413","1","1.486861e-10","3.286629e-04","3.552786e-04","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"2556","255.1955236_21.413164","0.680131301077676","0.0438094722948407","1","1.486861e-10","2.608534e-05","1.311026e-04","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"4160","774.5563938_26.771378","0.723854850145115","0.0274654787346287","1","1.486861e-10","1.079308e-10","2.473961e-03","3.853030e-03","2.377901e-03","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"2035","638.4234958_19.51929","0.187819221452403","0.628447861385469","1","6.151313e-05","1.342843e-04","5.039972e-05","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"5278","442.3888262_30.72841","0.0294854435133696","0.939976248988579","1","1.486861e-10","1.079308e-10","8.835574e-11","9.904960e-11","1.534130e-10","1.340054e-03","9.778323e-10","1.223669e-09","1.488487e-09"
"1540","290.1865421_17.810993","-0.279199022120491","0.466884432038238","1","1.348736e-04","9.932072e-05","8.835574e-11","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"3035","457.8048317_23.186163","0.156479082285246","0.687656526781527","1","1.486861e-10","1.199825e-04","8.835574e-11","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"4171","353.3413718_26.851416","-0.628199563441841","0.070028193609767","1","1.486861e-10","1.079308e-10","8.835574e-11","9.904960e-11","1.534130e-10","3.941499e-10","4.761295e-03","3.898702e-03","9.231832e-03"
"4867","359.2578612_28.927654","0.0645059889880286","0.869044293979394","1","1.486861e-10","1.079308e-10","8.835574e-11","9.904960e-11","7.312125e-05","6.846914e-04","9.778323e-10","1.223669e-09","1.488487e-09"
"4883","454.3375376_29.003086","0.413689373593077","0.268365580502217","1","1.486861e-10","1.079308e-10","8.835574e-11","2.833741e-04","5.992278e-04","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"5027","314.2686332_29.571812","0.0294834296669764","0.939980342652328","1","1.486861e-10","1.079308e-10","8.835574e-11","9.904960e-11","1.534130e-10","3.958360e-04","9.778323e-10","1.223669e-09","1.488487e-09"
"2626","236.1646388_21.66854","0.664139043141809","0.0510608002135608","1","1.486861e-10","5.945419e-04","8.835574e-04","4.670303e-06","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"5087","688.4829627_29.7706","0.51399889959764","0.156902338520258","1","1.486861e-10","1.079308e-10","6.692868e-05","3.956880e-04","3.749093e-04","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"2661","718.5308003_21.808668","0.0875035715134065","0.822872706316492","1","9.121337e-04","1.618962e-03","4.651253e-04","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"3155","716.5150086_23.585913","0.632181553810463","0.0677390473048829","1","1.486861e-10","3.183958e-03","2.880397e-03","5.883567e-04","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"2552","279.2319715_21.413164","0.551445904221456","0.123783371012278","1","1.486861e-10","1.944837e-04","1.492028e-04","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"2086","278.175389_19.778343","0.478896592513662","0.192149832324635","1","1.486861e-10","1.318298e-04","7.406296e-05","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"2775","422.3113085_22.221355","0.574865230841503","0.105398710966318","1","1.486861e-10","2.503053e-04","2.137525e-04","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"1500","353.2297387_17.686417","-0.147775000743751","0.704379920709503","1","4.044261e-03","3.550923e-03","7.174748e-04","1.507740e-04","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"1979","253.1798627_19.415737","0.102868048534255","0.792278094428971","1","3.715582e-04","8.208603e-04","1.893654e-04","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"3342","675.4757057_24.358482","0.20440757379363","0.597812117439478","1","1.486861e-10","4.668780e-04","3.370702e-05","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"2075","607.3818452_19.667103","-0.218641967036701","0.571950633146269","1","1.650059e-04","1.621999e-04","8.835574e-11","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"4120","412.3054823_26.641987","0.495396661299127","0.175074025862091","1","1.486861e-10","1.079308e-10","1.552227e-04","1.317360e-03","1.672201e-03","2.616488e-04","9.778323e-10","1.223669e-09","1.488487e-09"
"5431","423.3831669_31.511932","-0.144755950277467","0.710206582734702","1","1.486861e-10","1.079308e-10","8.835574e-11","9.904960e-11","1.534130e-10","5.686204e-04","4.681916e-04","6.034367e-05","1.488487e-09"
"2446","383.0760914_20.955137","0.79087848764272","0.0111472996753382","1","4.872292e-05","3.302682e-03","1.422527e-02","1.406504e-02","8.621809e-03","7.055284e-03","5.901623e-03","7.469674e-03","1.800886e-03"
"3216","305.2475121_23.863274","0.635986619368184","0.0655959903271236","1","1.486861e-10","1.079308e-10","1.770179e-04","3.322554e-04","9.682256e-05","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"2127","395.2413679_19.889555","0.650995656542779","0.0575604304823636","1","1.486861e-10","4.383162e-05","7.664398e-05","1.124168e-04","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"3518","305.2473632_25.00765","0.718784324615375","0.0291117973690698","1","1.486861e-10","1.079308e-10","1.104447e-03","1.248025e-03","2.888751e-04","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"2806","553.3947407_22.354183","0.485088320700588","0.185636597131896","1","1.486861e-10","6.208088e-04","3.580843e-04","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"2476","307.201648_21.04537","0.739903744741541","0.0226601996557092","1","1.486861e-10","1.614088e-05","8.831148e-04","4.509987e-04","3.253519e-05","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"1264","326.1499479_17.023485","0.328709164114346","0.387761016703584","1","4.124142e-04","3.658854e-03","1.236980e-03","5.524646e-05","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"3178","655.4626294_23.674673","0.683472512986073","0.0423834766938381","1","1.486861e-10","3.210448e-04","5.037864e-04","2.606943e-05","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"4950","292.2842944_29.237362","-0.645462164193183","0.0604459844718501","1","1.486861e-10","1.079308e-10","8.835574e-11","9.904960e-11","8.040197e-06","1.578982e-03","4.576448e-03","7.063167e-03","5.818976e-03"
"3372","426.3236632_24.510015","0.515561693687109","0.155427813743675","1","1.486861e-10","5.132033e-04","2.584198e-04","1.263676e-04","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"1295","523.3127166_17.1551","-0.440611143109832","0.235223233943134","1","7.508907e-04","1.079308e-10","8.835574e-11","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"2687","350.1752707_21.891724","0.655981073780125","0.0550367528669774","1","1.486861e-10","5.201783e-06","1.111584e-04","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
