row_IDs,IDs,cor_coeffs,p_values,adjusted_p_values,delta_cor_p,indexes,C7.mzML Peak area,C8.mzML Peak area,C9.mzML Peak area,C10.mzML Peak area,C11.mzML Peak area,C12.mzML Peak area,C13.mzML Peak area,C14.mzML Peak area,C15.mzML Peak area
4298,623.452349_27.243214,0.8808971183860008,0.0017055880299734034,1,0.8791915303560274,0,-0.7282440990319958,-0.10681825394544979,2.2164321957383146,1.1203583452786476,0.41124510711976686,-0.7282438808886801,-0.7282433622088044,-0.7282431437264962,-0.7282429083353024
3940,425.3167038_26.125835,0.8808318018399016,0.0017087506748041954,1,0.8791230511650974,0,-0.7244223073007313,-0.20123617152839407,2.199668634200785,1.1108918718307603,0.5127839854711652,-0.7244220810280909,-0.7244215430191007,-0.724421316394835,-0.7244210722315574
3986,550.4054396_26.337746,0.8787595445161452,0.001811213564770155,1,0.876948330951375,0,-0.7167589633170881,0.26826965831846217,2.398783057294287,0.7624690447699313,0.15427016128805518,-0.7167587596690176,-0.7167582754545204,-0.7167580714899829,-0.716757851740126
4200,520.3765646_26.920593,0.8731851575383333,0.002107831241510247,1,0.871077326296823,0,-0.7143151258539958,-0.2968258676900714,2.178698029383391,1.1501337641509672,0.5395679750424942,-0.714315004267718,-0.714314715171739,-0.7143145933965174,-0.7143144621968105
3857,469.3424752_25.87965,0.8723314841445922,0.002156037346437021,1,0.8701754467981552,0,-0.7108108430675585,0.41930470900352906,2.4301248272338705,0.6208009118314174,0.08382151205663216,-0.7108106844205208,-0.7108103072050854,-0.710810148311512,-0.7108099771207721
4167,542.3894919_26.795519,0.8715766694101437,0.002199291186220413,1,0.8693773782239232,0,-0.6988204939694738,-0.13015189167686386,2.34484106954012,0.9748074222935551,0.3046039678663596,-0.6988203601821715,-0.6988200420757883,-0.6988199080805821,-0.6988197637151559
3467,499.3140526_24.840929,0.8699193817777389,0.00229635734301262,1,0.8676230244347263,0,-0.7368764296416879,0.25801471904845785,2.22044878711003,1.1325853865541726,0.07331708760096171,-0.7368752922815516,-0.7368725879776755,-0.736871448850094,-0.7368702215626134
563,390.2386864_14.100427,0.869806083610476,0.0023030992312382185,1,0.8675029843792378,0,-0.732838791567432,0.24738266049932514,2.2431566952990343,1.1031007391819498,0.07053973457313864,-0.7328377976874698,-0.7328354345367419,-0.7328344391123012,-0.7328333666495025
4351,601.4392267_27.380035,0.8690896028663745,0.002346050867397338,1,0.8667435519989771,0,-0.7285785124762841,-0.3012653135737652,2.0477527431287603,1.3112762116151002,0.5851264518797985,-0.7285783387666407,-0.7285779257368126,-0.7285777517572263,-0.7285775643129299
3957,572.4184921_26.233183,0.8658528085894676,0.002547000263952262,1,0.8633058083255153,0,-0.7261010254960539,0.6178752926136902,2.3463694102886055,0.6900057237149229,-0.02374851751792538,-0.7261007990931568,-0.7261002607744549,-0.72610003401973,-0.7260997897158966
116,371.2653765_6.5468574,0.8653501296419968,0.0025792372933985605,1,0.8627708923485982,0,-0.8329288253286418,0.17046833667838357,1.2310687203944388,1.0904076557217903,1.6726287769308754,-0.8329238562454506,-0.8329120412446398,-0.8329070644395479,-0.8329017024672091
4147,564.4026527_26.688196,0.8639372311653964,0.0026713527859796075,1,0.8612658783794168,0,-0.6833986318976819,0.04342019563850194,2.4528466112794582,0.793998297018995,0.12672585960372057,-0.6833984774197214,-0.6833981101171113,-0.6833979553990939,-0.6833977887070666
3905,424.8188975_26.038692,0.860927492371403,0.0028750924306263376,1,0.8580523999407766,0,-0.6954590247451354,-0.21690024307092948,2.270470371302428,1.139713710261396,0.2840074824529336,-0.6954587572316306,-0.6954581211641401,-0.6954578532349223,-0.6954575645700001
4229,498.3633407_27.039175,0.8609049500054504,0.0028766575153645886,1,0.8580282924900858,0,-0.7247820840710233,-0.44636737166185125,1.9455760566769489,1.3466106792464911,0.768096488214328,-0.7147890337628822,-0.724781696194062,-0.7247815811810511,-0.7247814572668989
3442,521.327381_24.758995,0.8593287752055374,0.0029875507294322514,1,0.8563412244761052,0,-0.7297315548184915,0.4666758283799029,2.2567046879168537,1.0098628811883863,-0.08460178607421603,-0.7297304178250934,-0.7297277143932118,-0.7297265756329384,-0.7297253487411928
