row_IDs_x_x,IDs,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_x_x,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_x_y,cor_coeffs_x_y,p_values_x_y,adjusted_p_values_x_y,row_IDs_y_y,cor_coeffs_y_y,p_values_y_y,adjusted_p_values_y_y,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_x_y,cor_coeffs_x_y,p_values_x_y,adjusted_p_values_x_y,row_IDs_y_y,cor_coeffs_y_y,p_values_y_y,adjusted_p_values_y_y,row_IDs_x,cor_coeffs_x,p_values_x,adjusted_p_values_x,row_IDs_x,cor_coeffs_x,p_values_x,adjusted_p_values_x,row_IDs_y,cor_coeffs_y,p_values_y,adjusted_p_values_y,row_IDs_y,cor_coeffs_y,p_values_y,adjusted_p_values_y
4671,652.473042_28.336678,0.980789828415054,0.01921017158494598,1,4671,0.9668340429749744,0.0072144001178871065,1,4671,0.8957642607996417,0.01573136868124729,1,4671,0.9753061625847648,0.02469383741523523,1,4671,0.9534775275138485,0.011961178003888824,1,4671,0.8528255602936472,0.030896551140601358,1,4671,0.9604950112176895,0.03950498878231046,1,4671,0.9118249695103348,0.031011533093320477,1,4671,0.8811709009186584,0.020341577663612775,1,4671,0.9807737856850239,0.019226214314976064,1,4671,0.9761732333996875,0.00439919525862024,1,4671,0.96356066671626,0.001967544986201312,1
3916,433.3321921_26.053377,0.979644727658177,0.020355272341822994,1,3916,0.9675047938303254,0.0069973652195953725,1,3916,0.9501889712291458,0.0036599138480402776,1,3916,0.9992820832483991,0.0007179167516009333,1,3916,0.9795113572887286,0.0035096548700789265,1,3916,0.9510021182965667,0.003542371745850752,1,3916,0.9598727516640262,0.04012724833597381,1,3916,0.9448356201840773,0.015423940337494054,1,3916,0.9368541580285388,0.005855202255695297,1,3916,0.9807736882669136,0.01922631173308642,1,3916,0.9761731996122738,0.004399204593533407,1,3916,0.9624741334025204,0.0020858642083392406,1
229,507.3157224_8.5325775,0.9789955342974334,0.021004465702566644,1,229,0.9715248931070963,0.00574338829832133,1,229,0.9653216749747002,0.0017830275018226947,1,229,0.9790391375388293,0.020960862461170682,1,229,0.9659932087649601,0.007489529236360542,1,229,0.9629545642278959,0.0020331265503379953,1,229,0.9884307431058245,0.01156925689417554,1,229,0.9650613933119891,0.0077983551879048565,1,229,0.946999142521799,0.004139194227094016,1,229,0.9880094274170242,0.011990572582975756,1,229,0.9780703721694539,0.0038855006741675443,1,229,0.9683906850430541,0.0014829319836427623,1
4200,520.3765646_26.920593,0.9742292540899115,0.025770745910088544,1,4200,0.9604419368906463,0.009388419900254335,1,4200,0.9176520198170439,0.00989257611702945,1,4200,0.9997871300351964,0.0002128699648036303,0.642015813847749,4200,0.9785353148788143,0.003762854152565446,1,4200,0.9126801122139525,0.011104247488276696,1,4200,0.9567262994410616,0.04327370055893842,1,4200,0.9280331875708605,0.022923855534051813,1,4200,0.9244705742467857,0.00834160509511775,1,4200,0.9807736695269603,0.019226330473039677,1,4200,0.9761731931126688,0.0043992063892693495,1,4200,0.9573746982837159,0.0026866512158770124,1
880,362.1861912_15.817447,0.9737233575606414,0.026276642439358566,1,880,0.9599513025459652,0.00956291255285978,1,880,0.916610439585411,0.010140790233318188,1,880,0.9725873113005533,0.027412688699446686,1,880,0.9509592961085063,0.012940413295418637,1,880,0.8765019298979355,0.021935877693140367,1,880,0.9564178607704166,0.04358213922958343,1,880,0.906588524661188,0.0337873026274287,1,880,0.8702670247221906,0.02415422249394686,1,880,0.9807740916429051,0.019225908357094923,1,880,0.9761733395119805,0.004399165941561191,1,880,0.9569009906143524,0.002746258179735458,1
4462,615.4364294_27.706736,0.9721828879418233,0.02781711205817672,1,4462,0.9584596974986093,0.010099818806817415,1,4462,0.9005823779405829,0.014334480257183362,1,4462,0.9920060910143194,0.007993908985680642,1,4462,0.9695314570980083,0.0063550142867965275,1,4462,0.8820513430279951,0.020047384406209026,1,4462,0.9554671571114828,0.04453284288851722,1,4462,0.9054294711611985,0.03441192632532738,1,4462,0.9006682164132495,0.014310161264193783,1,4462,0.9807736783604404,0.019226321639559618,1,4462,0.9761731961763995,0.004399205542809975,1,4462,0.955459487596804,0.0029316048585922385,1
3940,425.3167038_26.125835,0.9719162678632346,0.028083732136765405,1,3940,0.95820171036285,0.010193652559884806,1,3940,0.925461030523888,0.008127015538103575,1,3940,0.9999900199092638,9.980090736161351e-06,0.030099953660262635,3940,0.9790931964458277,0.003617417689275999,1,3940,0.9251782630212302,0.008188001508862558,1,3940,0.955300736099901,0.04469926390009904,1,3940,0.9298181510176025,0.02208236252250046,1,3940,0.9251200653239795,0.008200580855899907,1,3940,0.980773690325075,0.019226309674925002,1,3940,0.976173200326108,0.00439920439631255,1,3940,0.9552103005952519,0.0029642490665820523,1
3960,788.5722222_26.247631,0.9715463057250315,0.028453694274968466,1,3960,0.9578438378540406,0.010324285845484343,1,3960,0.8982032088839969,0.015016440986352929,1,3960,0.9787844709496447,0.021215529050355286,1,3960,0.9567253572939916,0.01073605571096394,1,3960,0.8651517641675867,0.02605002675129697,1,3960,0.9550689730027031,0.0449310269972969,1,3960,0.9049484793763892,0.034672209502448474,1,3960,0.8774511258433166,0.021607106457406423,1,3960,0.9807736812004594,0.01922631879954062,1,3960,0.9761731971614072,0.004399205270668266,1,3960,0.9548646301768247,0.0030098274895972313,1
218,619.4153565_8.249505,0.9712082336657171,0.02879176633428293,1,218,0.9642681173181145,0.008064476922950238,1,218,0.9612363477781694,0.002224807566593747,1,218,0.9671228738307066,0.03287712616929339,1,218,0.9604285847648184,0.009393154583619683,1,218,0.9589762544393032,0.0024899011406283138,1,218,0.9815808490247769,0.018419150975223064,1,218,0.9610623605231728,0.009169282468716242,1,218,0.9446311265622057,0.004513695704757785,1,218,0.9809212356616978,0.019078764338302245,1,218,0.9761739923678239,0.004398985569785245,1,218,0.9623592480237289,0.0020985741120391325,1
4127,506.3793726_26.650297,0.970409974231174,0.029590025768825967,1,4127,0.9567452874291198,0.010728672366349612,1,4127,0.9240631665529488,0.008430662831227018,1,4127,0.9997573427183342,0.00024265728166583678,0.7318543615041637,4127,0.9795325253003763,0.0035042284335036608,1,4127,0.9265576675341224,0.007892598544651679,1,4127,0.9543511164505116,0.04564888354948837,1,4127,0.9342390217457344,0.020042657582361668,1,4127,0.9276550778519507,0.0076613626568707025,1,4127,0.9807736849564235,0.019226315043576525,1,4127,0.976173198464093,0.004399204910757204,1,4127,0.9538037077602793,0.0031518524310816137,1
