row_IDs_x_x,IDs,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_x,cor_coeffs_x,p_values_x,adjusted_p_values_x,row_IDs_x_y,cor_coeffs_x_y,p_values_x_y,adjusted_p_values_x_y,row_IDs_y_y,cor_coeffs_y_y,p_values_y_y,adjusted_p_values_y_y,row_IDs_y,cor_coeffs_y,p_values_y,adjusted_p_values_y
4060,528.3923249_26.496937,0.9798827967080346,0.020117203291965424,1,4060,0.9787031195966129,0.0037189094112233573,1,4060,0.9787203255892434,0.0006744188351212996,1,4060,0.9924832821802765,0.007516717819723517,1,4060,0.9917556719674778,0.0008974886271618935,1,4060,0.9537331345028103,0.003161414309825424,1
3505,936.567209_24.951538,0.9798377528208146,0.020162247179185355,1,3505,0.9786417596682537,0.0037349585771292767,1,3505,0.9786714458254464,0.0006775095780883395,1,3505,0.9924069086964564,0.007593091303543575,1,3505,0.9916769255454659,0.0009103671629370964,1,3505,0.9165554534029469,0.010153976665096208,1
3968,403.3035914_26.251703,0.979823402185783,0.02017659781421699,1,3968,0.9786225982881628,0.0037399750625368854,1,3968,0.9786561086234331,0.0006784808189316292,1,3968,0.9923830342382723,0.0076169657617276565,1,3968,0.9916524468062691,0.0009143829272310359,1,3968,0.8676956631246248,0.0250986998324355,1
3659,149.1325116_25.372814,0.9797631297385874,0.02023687026141263,1,3659,0.9794361584941029,0.0035289545689918852,1,3659,0.9791040559757336,0.0006503987075183501,1,3659,0.9935398225704444,0.006460177429555625,1,3659,0.9931343342034651,0.0006821974360896576,1,3659,0.8662737295562226,0.025628378691823862,1
3625,760.5404465_25.30782,0.979674574003077,0.020325425996922997,1,3625,0.9784292891036532,0.003790708016619848,1,3625,0.9785000984082705,0.0006883995334146038,1,3625,0.9921430704858276,0.007856929514172384,1,3625,0.9914081564472064,0.0009547790870995987,1,3625,0.8924050330883013,0.016742219272838397,1
4143,579.4078703_26.670557,0.9796650359375599,0.020334964062440064,1,4143,0.9784171550330837,0.003793900065476849,1,4143,0.9784902395635531,0.0006890287328345872,1,4143,0.9921280708924873,0.007871929107512665,1,4143,0.9913929678690349,0.0009573097923649029,1,4143,0.9182166219391168,0.009759276472751524,1
313,306.1701656_10.073177,0.9795569729966284,0.02044302700337164,1,313,0.9782785381529966,0.0038304282361982258,1,313,0.9783774970827613,0.0006962443357549403,1,313,0.9990238623786489,0.0009761376213510697,1,313,0.991220592174611,0.0009861862405650278,1,313,0.989736941109584,0.0001574550607471259,0.47488446321333166
563,390.2386864_14.100427,0.9795513959100703,0.020448604089929656,1,563,0.9793364095385728,0.0035546089647235162,1,563,0.9789837857513445,0.0006578806580090612,1,563,0.9934425912907525,0.006557408709247481,1,563,0.9930961844603119,0.0006878874273224439,1,563,0.9740618398345029,0.00100045678572446,1
3500,411.27412_24.945763,0.979485460446772,0.020514539553228017,1,3500,0.9793027342968454,0.0035632837463303196,1,3500,0.9789448426775285,0.0006603123923249201,1,3500,0.9934087825103857,0.006591217489614332,1,3500,0.9930798262115516,0.0006903320500001801,1,3500,0.8899580359347321,0.017497588844628847,1
3905,424.8188975_26.038692,0.9794822836665543,0.02051771633344568,1,3905,0.9793011741098191,0.0035636858217087102,1,3905,0.9789430276877154,0.000660425834919348,1,3905,0.9934070523196872,0.006592947680312822,1,3905,0.9930789773900188,0.0006904589789318729,1,3905,0.928961477781045,0.007390460514750353,1
