row_IDs_x_x,IDs,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_x_x,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_x_y,cor_coeffs_x_y,p_values_x_y,adjusted_p_values_x_y,row_IDs_y_y,cor_coeffs_y_y,p_values_y_y,adjusted_p_values_y_y,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_x_y,cor_coeffs_x_y,p_values_x_y,adjusted_p_values_x_y,row_IDs_y_y,cor_coeffs_y_y,p_values_y_y,adjusted_p_values_y_y,row_IDs,cor_coeffs,p_values,adjusted_p_values
4453,557.4131181_27.679718,0.9897794583248105,0.010220541675189487,1,4453,0.9787800607299295,0.0036988171615647165,1,4453,0.9213606815267366,0.00903305524267941,1,4453,0.9807736795003834,0.01922632049961659,1,4453,0.9161699743310658,0.028767061773288843,1,4453,0.8501098767329462,0.03201677920351736,1,4453,0.9770567606618419,0.022943239338158117,1,4453,0.9770561643236523,0.00415750300154243,1,4453,0.896929048910842,0.015387938079537679,1
4206,484.3660419_26.943928,0.9892153544179463,0.01078464558205372,1,4206,0.9782249741050821,0.0038445743242673863,1,4206,0.9207511790628851,0.009171707248423814,1,4206,0.9807736958730303,0.019226304126969684,1,4206,0.9161699750980656,0.02876706138188762,1,4206,0.8887276607646812,0.017883439121590988,1,4206,0.9770567642875707,0.02294323571242929,1,4206,0.9765741412195715,0.0042888926413657295,1,4206,0.9067892828338672,0.012627438254063773,1
4002,744.5458558_26.383942,0.9870557576193614,0.012944242380638626,1,4002,0.9793604304479583,0.003548425422597862,1,4002,0.9266116713730261,0.007881141021327627,1,4002,0.9807736753497129,0.019226324650287063,1,4002,0.91616997413662,0.02876706187251485,1,4002,0.8571258854457107,0.02916127336351206,1,4002,0.9770567597426723,0.022943240257327746,1,4002,0.9751144179151491,0.0046949151262138875,1,4002,0.8962531236894365,0.015586786207975531,1
4738,674.4852947_28.490328,0.9868748886109834,0.01312511138901662,1,4738,0.9656735811212661,0.0075949990819051735,1,4738,0.9528613481770141,0.003280706464069709,1,4738,0.9807738846910248,0.019226115308975222,1,4738,0.965673581121266,0.007594999081905211,1,4738,0.9270823133625783,0.007781632267056352,1,4738,0.9770568061004555,0.022943193899544467,1,4738,0.9550468198873412,0.011363816023591922,1,4738,0.8680205188131737,0.024978427377858905,1
4229,498.3633407_27.039175,0.9867714752486749,0.013228524751325077,1,4229,0.979150673875287,0.0036025415985673913,1,4229,0.9275656302582653,0.007680084802610123,1,4229,0.9807736701010376,0.019226329898962446,1,4229,0.9174359909299681,0.028123350678242464,1,4229,0.9057607437022631,0.012903084960163447,1,4229,0.9770567585803472,0.02294324141965276,1,4229,0.974876139338043,0.004762335124329124,1,4229,0.9172424645172619,0.009989819213745497,1
261,491.2993896_9.175612,0.9856875903093698,0.01431240969063019,1,261,0.9729924003380307,0.00530634636941248,1,261,0.9127812862840989,0.011078915119422337,1,261,0.9748631752363686,0.025136824763631438,1,261,0.9104045602249522,0.03175691792842222,1,261,0.9153974129805897,0.010433620953148256,1,261,0.9743008815251273,0.025699118474872717,1,261,0.9731840174458357,0.005250126644535293,1,261,0.8916705255945133,0.016967274449724127,1
4210,475.8529024_26.960129,0.9854229928376252,0.014577007162374755,1,4210,0.9781458781507018,0.0038654947825731084,1,4210,0.9258645803392945,0.008040364298496864,1,4210,0.9807738230518533,0.019226176948146656,1,4210,0.9161699810555788,0.028767058341759168,1,4210,0.8659074704309394,0.02576566381662895,1,4210,0.9770567924509301,0.022943207549069866,1,4210,0.9737431665510399,0.005087207801554059,1,4210,0.8787106320062843,0.021174515517472355,1
4497,593.4233264_27.831957,0.9846327501685295,0.01536724983147053,1,4497,0.9775503306559619,0.004024212384376197,1,4497,0.9254855437410261,0.00812173909772334,1,4497,0.980773673323952,0.019226326676047956,1,4497,0.9161699740417195,0.028767061920942742,1,4497,0.8847927403132687,0.019144512598292134,1,4497,0.9770567592940653,0.022943240705934675,1,4497,0.973077480309186,0.005281359865901459,1,4497,0.9041075959176771,0.013352147480549095,1
2866,287.2369593_22.547283,0.9845951657261303,0.015404834273869739,1,2866,0.9714183559039693,0.005775557859096904,1,2866,0.95979974655617,0.0023916075470553307,1,2866,0.9807737632256681,0.019226236774331884,1,2866,0.9627817851234555,0.008570924341873275,1,2866,0.8581735624812025,0.02874570672593258,1,2866,0.9770567792027021,0.022943220797297936,1,2866,0.9663660742387085,0.007367106404469388,1,2866,0.8957468977457541,0.015736515661894355,1
4299,462.3527909_27.242655,0.9845074668971436,0.015492533102856365,1,4299,0.9737387334320752,0.005088492804387886,1,4299,0.9688274875428496,0.0014424427361973005,1,4299,0.9859577450625902,0.014042254937409848,1,4299,0.9701188143886255,0.00617268886982557,1,4299,0.9287817585876009,0.007427446054652982,1,4299,0.9770567627066896,0.02294323729331038,1,4299,0.9725789732035431,0.005428314584019335,1,4299,0.9220012338967989,0.008888446530796868,1
