row_IDs,IDs,cor_coeffs,p_values,adjusted_p_values,delta_cor_p,indexes,C7.mzML Peak area,C8.mzML Peak area,C9.mzML Peak area,C10.mzML Peak area,C11.mzML Peak area,C12.mzML Peak area,C13.mzML Peak area,C14.mzML Peak area,C15.mzML Peak area
4200,520.3765646_26.920593,0.8731855329064029,0.002107810210365313,1,0.8710777226960376,0,-0.7143156391650229,-0.29682748481537374,2.1786957706362005,1.150132342109809,0.5395758394161875,-0.7143155175740181,-0.7143152284457589,-0.714315106670115,-0.7143149754919077
3857,469.3424752_25.87965,0.8723320077288695,0.0021560075488567497,1,0.8701760001800128,0,-0.7108112776696458,0.41930201674627976,2.4301245273388044,0.6208006887120752,0.08382690021318968,-0.7108111190163376,-0.7108107417585391,-0.7108105828643119,-0.7108104117015142
4167,542.3894919_26.795519,0.8715771208451,0.0021992651395395905,1,0.8693778557055604,0,-0.698820999494518,-0.13015371980737053,2.3448396960061073,0.9748066334963401,0.3046104858480744,-0.698820865701972,-0.6988205475599679,-0.6988204135642544,-0.6988202692224392
3467,499.3140526_24.840929,0.8699198827406378,0.0022963275631693344,1,0.8676235551774685,0,-0.7368768714433647,0.2580122300722588,2.2204482947966504,1.132585129548793,0.07332253400528214,-0.7368757340383426,-0.7368730294309214,-0.7368718902987212,-0.7368706632116351
563,390.2386864_14.100427,0.8698065808690967,0.002303069611675497,1,0.8675035112574212,0,-0.7328392309251813,0.24738020431532473,2.243156205604857,1.1031004816115555,0.07054513402484527,-0.7328382370059956,-0.7328358735900149,-0.7328348781615379,-0.7328338058738535
4351,601.4392267_27.380035,0.8690899538096707,0.002346029694691985,1,0.8667439241149787,0,-0.7285790055379703,-0.3012669716727984,2.047750346006763,1.3112745560615462,0.5851346278271577,-0.7285788318215878,-0.7285784187456751,-0.7285782447654998,-0.728578057351935
3957,572.4184921_26.233183,0.86585336954897,0.0025469644454917196,1,0.8633064051034782,0,-0.7261014449107229,0.6178723849626099,2.346369572214526,0.6900057364098791,-0.02374368759400119,-0.7261012184988441,-0.7261006801196073,-0.7261004533639164,-0.7261002090999232
116,371.2653765_6.5468574,0.8653489747227062,0.002579311681214882,1,0.8627696630414914,0,-0.8329278357500144,0.17046388722647235,1.2310627336240396,1.0904023673602758,1.6726395499313347,-0.8329228664874312,-0.8329110502001793,-0.8329060733916461,-0.8329007123128526
4147,564.4026527_26.688196,0.863937691874379,0.0026713223854222183,1,0.8612663694889567,0,-0.6833990796531056,0.04341819855789076,2.4528458779852,0.7939978860281558,0.12673123962460353,-0.6833989251690604,-0.6833985578252493,-0.683398403106616,-0.6833982364418191
3905,424.8188975_26.038692,0.8609279477683535,0.002875060819103464,1,0.85805288694925,0,-0.6954595410118057,-0.2169018677891943,2.2704690375600087,1.139712900931165,0.2840138313667283,-0.6954592734878128,-0.6954586373490911,-0.6954583694188562,-0.6954580808011426
